;ticker;Tax Effect Of Unusual Items;Tax Rate For Calcs;Normalized EBITDA;Net Income From Continuing Operation Net Minority Interest;Net Interest Income;EBIT;Interest Expense;Normalized Income;Diluted NI Availto Com Stockholders;Net Income Common Stockholders;Net Income Including Noncontrolling Interests;Net Income Continuous Operations;Tax Provision;Pretax Income;Selling General And Administration;Total Revenue;Operating Revenue;cluster
19;CCRO3.SA;-0.18366278700347893;1.3676073813441585;0.4734090204501282;0.010910248018402248;-0.39477390382213884;0.5559164621677509;-0.17910373644979677;0.02849719043509295;0.02012767508945595;0.02012542137827837;-0.0034869523171671846;-0.0025579912147997764;0.6189686392513518;0.15541563328706984;-0.3607113088247871;-0.2946337421161473;-0.30430882508814855;3
20;CMIG4.SA;0.07662792011323372;-1.7367433143369886;0.08227390671537582;0.00577609406006417;-0.2789570376877254;0.17381200277718653;-0.20305877612816078;-0.02583843677721967;0.014871345771915477;0.01486908778567332;-0.018101906658663337;-0.016949726930765994;-0.3830343931368338;-0.11353653334823488;-0.32406706079246833;-0.0004686786438724725;0.1646157344287208;3
21;CIEL3.SA;-0.020872948638914094;0.2233408668879264;-0.12906409123590992;-0.32916997238882323;-0.16807290917677248;-0.11313325361646806;-0.23316285913717363;-0.3133890415145155;-0.3280452950527875;-0.32804783193913206;-0.31234503716982115;-0.30669879296319735;-0.18095297990245318;-0.28332705926196444;-0.4301634391659707;-0.45803892849872746;-0.46668362349859954;3
22;COGN3.SA;0.011506754771944997;-1.1035158974569927;-0.40786098189487957;-0.5716325422985605;-0.2292634830405251;-0.47124746694549563;-0.249053456001146;-0.5386316920989708;-0.576277647445138;-0.5762803862231969;-0.5912977447270843;-0.5813909713040271;-0.4109651483539849;-0.552820392331464;-0.22906643493545265;-0.5658562811000077;-0.5738211096539821;3
23;CPLE6.SA;0.06809693781449856;1.3778919274817365;-0.3606786376180086;-0.36658914291349903;-0.20161368032270144;-0.42652326059861256;-0.2885253406516951;-0.3615577718821952;-0.3663549142545006;-0.36635748229872855;-0.38226123256289884;-0.3755471371216247;-0.4645621399892874;-0.40903867017465023;-0.3938658233014602;-0.24177268883551728;-0.29463437954811184;3
24;CSAN3.SA;3.2346493368936637;1.3778919274817365;0.20520531404041736;-0.3585888944910254;-0.5439616811769477;0.3879044116663379;-0.08316169601613621;-0.5511577503120422;-0.3583867549896952;-0.3581668485792353;-0.1755453297930117;-0.17198846896316985;-0.43533018278192276;-0.24568452892064202;-0.11601843367397474;0.10106285883738225;0.23948140669829363;3
25;CPFE3.SA;-0.7988422083425128;0.4840303779075117;0.4885925987017969;0.13167907425540176;-0.24921889369755743;0.4570628105452478;-0.22253658398958162;0.22214380504915718;0.14377038762703945;0.14376823447664278;0.12100023107802065;0.12002786171268559;0.3683653929374308;0.1847480659349271;-0.348707493678534;0.09368759046651193;0.0815638604272288;3
26;CMIN3.SA;0.10214862503795964;0.2608319931540654;-0.09803555637928421;-0.13688536044106756;-0.18717181647564482;-0.05868099660090664;-0.27433912260242166;-0.13768222764390692;-0.13118496493910944;-0.13118734171550397;-0.15953998848535003;-0.15622758208241597;-0.019398956682217694;-0.12655044409427033;-0.3554016995632028;-0.4083843847489697;-0.41734218758693403;3
27;CVCB3.SA;0.022263536861799705;1.3778919274817365;-0.5524655301472656;-0.5597007075213082;-0.19307187372259557;-0.5548202561351329;-0.2850369545676056;-0.5501548848118983;-0.5640618756820289;-0.564064604524787;-0.5779965038732318;-0.5682928843315936;-0.36117253381503467;-0.5299758973214693;-0.3602860309323483;-0.6403654317121203;-0.6478604261420754;3
28;CYRE3.SA;0.05279050030980381;-0.8372410867657694;-0.4268986354426892;-0.40446639872855805;-0.17464803002789475;-0.38274553313224113;-0.275283539237153;-0.39360200546086593;-0.40513351961465666;-0.40513611919820264;-0.4182149106446654;-0.41095168378521296;-0.34789686931259933;-0.4061098457365623;-0.39275989621131535;-0.5596944936731564;-0.567698176756733;3
